Date,cross_border_trading,non_renewable,renewable
2024-01-01T00:00+01:00,-11728.9125,8378.536596,41778.25343
2024-01-01T01:00+01:00,-11129.9725,8284.442818,41522.96191
2024-01-01T02:00+01:00,-11635.4075,8282.031575,41346.84615
2024-01-01T03:00+01:00,-11492.7,8318.30145,40363.41746
2024-01-01T04:00+01:00,-10593.885,8309.993639,40234.70911
2024-01-01T05:00+01:00,-11411.85,8345.648349,40369.49649
2024-01-01T06:00+01:00,-10643.795,8377.203364,39954.72448
2024-01-01T07:00+01:00,-11687.23,8357.52499,40285.02287
2024-01-01T08:00+01:00,-11487.7975,8352.21761,41676.21917
2024-01-01T09:00+01:00,-11008.2975,8294.832781,43912.84696
2024-01-01T10:00+01:00,-11869.1775,8423.721464,46884.72694
2024-01-01T11:00+01:00,-12295.26,8290.796431,48447.45581
2024-01-01T12:00+01:00,-10622.18,8335.354919,47889.16019
2024-01-01T13:00+01:00,-9545.4975,8306.237283,45860.94191
2024-01-01T14:00+01:00,-9195.185,8510.7312,42667.37916
2024-01-01T15:00+01:00,-6217.525,8600.856688,39226.56351
2024-01-01T16:00+01:00,-4526.2975,9172.600685,38425.88643
2024-01-01T17:00+01:00,-4577.02,9653.591941,39397.46928
2024-01-01T18:00+01:00,-5731.15,9678.299331,38601.32792
2024-01-01T19:00+01:00,-4259.405,9509.157213,37623.27995
2024-01-01T20:00+01:00,-3432.905,9320.792306,36870.95773
2024-01-01T21:00+01:00,-3550.3875,9189.197479,35236.12801
2024-01-01T22:00+01:00,-1763.5725,9008.863723,33845.59544
2024-01-01T23:00+01:00,-1862.505,8851.44662,31794.32959
2024-01-02T00:00+01:00,-2049.5725,8652.642358,30446.35063
2024-01-02T01:00+01:00,-1719.915,8582.390987,29672.75853
2024-01-02T02:00+01:00,-2226.0475,8627.772836,29567.59048
2024-01-02T03:00+01:00,-2075.64,8760.719069,31286.97161
2024-01-02T04:00+01:00,-2903.8075,8873.528725,33616.55447
2024-01-02T05:00+01:00,-4030.18,9201.584807,36615.93972
2024-01-02T06:00+01:00,-3799.995,9665.409542,39827.19502
2024-01-02T07:00+01:00,-3082.25,10197.99904,41617.02734
