Day,"CO2 Emission Allowances, Auction DE"
01.01.2018,7.07
02.01.2018,7.07
03.01.2018,7.07
04.01.2018,7.07
05.01.2018,7.07
06.01.2018,7.07
07.01.2018,7.07
08.01.2018,7.07
09.01.2018,7.07
10.01.2018,7.07
11.01.2018,7.07
12.01.2018,7.4525
13.01.2018,7.79
14.01.2018,7.79
15.01.2018,7.79
16.01.2018,7.79
17.01.2018,7.79
18.01.2018,7.79
19.01.2018,8.2203
20.01.2018,8.6
21.01.2018,8.6
22.01.2018,8.6
23.01.2018,8.6
24.01.2018,8.6
25.01.2018,8.6
26.01.2018,8.8231
27.01.2018,9.02
28.01.2018,9.02
29.01.2018,9.02
30.01.2018,9.02
31.01.2018,9.02
01.02.2018,9.02
02.02.2018,9.0306
03.02.2018,9.04
04.02.2018,9.04
05.02.2018,9.04
06.02.2018,9.04
07.02.2018,9.04
08.02.2018,9.04
09.02.2018,9.0028
10.02.2018,8.97
11.02.2018,8.97
12.02.2018,8.97
13.02.2018,8.97
14.02.2018,8.97
15.02.2018,8.97
16.02.2018,9.2675
17.02.2018,9.53
18.02.2018,9.53
19.02.2018,9.53
20.02.2018,9.53
21.02.2018,9.53
22.02.2018,9.53
23.02.2018,9.6097
24.02.2018,9.68
25.02.2018,9.68
26.02.2018,9.68
27.02.2018,9.68
28.02.2018,9.68
01.03.2018,9.68
02.03.2018,9.7916
03.03.2018,9.89
04.03.2018,9.89
05.03.2018,9.89
06.03.2018,9.89
07.03.2018,9.89
08.03.2018,9.89
09.03.2018,10.5328
10.03.2018,11.1
11.03.2018,11.1
12.03.2018,11.1
13.03.2018,11.1
14.03.2018,11.1
15.03.2018,11.1
16.03.2018,11.0309
17.03.2018,10.97
18.03.2018,10.97
19.03.2018,10.97
20.03.2018,10.97
21.03.2018,10.97
22.03.2018,10.97
23.03.2018,11.7137
24.03.2018,12.37
25.03.2018,12.37
26.03.2018,12.37
27.03.2018,12.37
28.03.2018,12.37
29.03.2018,12.37
30.03.2018,12.37
31.03.2018,12.37
01.04.2018,12.37
02.04.2018,12.37
03.04.2018,12.37
04.04.2018,12.37
05.04.2018,12.37
06.04.2018,12.5347
07.04.2018,12.68
08.04.2018,12.68
09.04.2018,12.68
10.04.2018,12.68
11.04.2018,12.68
12.04.2018,12.68
13.04.2018,13.275
14.04.2018,13.8
15.04.2018,13.8
16.04.2018,13.8
17.04.2018,13.8
18.04.2018,13.8
19.04.2018,13.8
20.04.2018,13.4016
21.04.2018,13.05
22.04.2018,13.05
23.04.2018,13.05
24.04.2018,13.05
25.04.2018,13.05
26.04.2018,13.05
27.04.2018,13.1722
28.04.2018,13.28
29.04.2018,13.28
30.04.2018,13.28
01.05.2018,13.28
02.05.2018,13.28
03.05.2018,13.28
04.05.2018,13.0144
05.05.2018,12.78
06.05.2018,12.78
07.05.2018,12.78
08.05.2018,12.78
09.05.2018,12.78
10.05.2018,12.78
11.05.2018,12.78
12.05.2018,12.78
13.05.2018,12.78
14.05.2018,12.78
15.05.2018,12.78
16.05.2018,12.78
17.05.2018,12.78
18.05.2018,14.0656
19.05.2018,15.2
