Date (GMT+1),Cross border electricity trading,Non-Renewable,Renewable,Load,"CO2 Emission Allowances, Auction DE"
2021-01-01 00:00:00,-349.29,23155.89,11220.99,44569.45,30.45
2021-01-01 01:00:00,-1013.02,22509.22,10818.58,42806.09,30.45
2021-01-01 02:00:00,-1942.94,22587.6,10369.41,41049.73,30.45
2021-01-01 03:00:00,-95.2,22754.5,9954.22,40233.94,30.45
2021-01-01 04:00:00,1331.98,22608.1,9614.67,40210.66,30.45
2021-01-01 05:00:00,-331.97,23044.34,9427.51,39579.97,30.45
2021-01-01 06:00:00,-1910.46,23545.38,9430.68,38959.31,30.45
2021-01-01 07:00:00,-1709.14,23161.96,9341.15,39475.79,30.45
2021-01-01 08:00:00,-1168.79,23628.49,9693.92,40596.46,30.45
2021-01-01 09:00:00,-852.83,23824.17,10891.79,42974.21,30.45
2021-01-01 10:00:00,-394.71,23757.39,12674.64,45558.9,30.45
2021-01-01 11:00:00,568.5,23953.47,13841.66,48030.6,30.45
2021-01-01 12:00:00,46.24,24013.13,14247.61,49219.16,30.45
2021-01-01 13:00:00,576.73,23960.23,13566.52,48364.0,30.45
2021-01-01 14:00:00,1330.58,24040.01,11968.77,47410.63,30.45
2021-01-01 15:00:00,2121.91,24769.73,10235.85,47699.24,30.45
2021-01-01 16:00:00,2804.7,25450.24,10118.13,49532.18,30.45
2021-01-01 17:00:00,3029.6,26017.11,10843.68,53116.54,30.45
2021-01-01 18:00:00,2353.08,26020.11,11428.36,53819.24,30.45
2021-01-01 19:00:00,483.39,26079.0,11839.51,52784.54,30.45
2021-01-01 20:00:00,585.34,25816.74,12035.44,50494.72,30.45
2021-01-01 21:00:00,-130.94,25360.92,12162.58,48730.22,30.45
2021-01-01 22:00:00,-319.86,24758.57,12578.68,48094.6,30.45
2021-01-01 23:00:00,-386.97,23563.24,12191.14,45632.4,30.45
2021-01-02 00:00:00,475.98,22738.92,11841.7,42834.28,30.45
2021-01-02 01:00:00,146.61,22313.1,11605.96,41009.91,30.45
2021-01-02 02:00:00,930.05,21729.77,11542.99,40016.42,30.45
2021-01-02 03:00:00,584.99,21535.21,11372.69,39869.15,30.45
2021-01-02 04:00:00,715.35,22060.82,11165.82,40546.68,30.45
2021-01-02 05:00:00,-473.09,22680.91,10822.42,40974.67,30.45
2021-01-02 06:00:00,-1253.41,23459.21,10730.76,42243.1,30.45
2021-01-02 07:00:00,-1104.49,24597.62,10570.51,44090.96,30.45
2021-01-02 08:00:00,653.06,26139.64,10351.72,46218.69,30.45
2021-01-02 09:00:00,17.95,27479.9,10809.43,49193.76,30.45
2021-01-02 10:00:00,13.28,28195.25,11535.52,51534.51,30.45
2021-01-02 11:00:00,683.64,28489.23,12294.64,53585.0,30.45
2021-01-02 12:00:00,2380.66,28372.62,12403.47,54506.06,30.45
2021-01-02 13:00:00,2528.47,28392.2,11513.97,53621.38,30.45
2021-01-02 14:00:00,2396.95,28319.39,10283.3,52669.28,30.45
