Date (GMT+1),Cross border electricity trading,Non-Renewable,Renewable,Load,"CO2 Emission Allowances, Auction DE"
2022-01-01T00:00+01:00,-8719.0575,10048.87567,37925.62925,43915.4825,82.25
2022-01-01T01:00+01:00,-8777.2075,9965.494404,36577.31399,41535.6575,82.25
2022-01-01T02:00+01:00,-8268.455,9884.360137,35178.97934,40480.79,82.25
2022-01-01T03:00+01:00,-6620.03,9887.520441,33922.69936,39563.8,82.25
2022-01-01T04:00+01:00,-5429.4325,9922.148708,32695.45353,39338.085,82.25
2022-01-01T05:00+01:00,-4825.605,10162.75158,30660.31686,38826.52,82.25
2022-01-01T06:00+01:00,-4558.85,10293.86523,30342.06345,38412.9375,82.25
2022-01-01T07:00+01:00,-3582.9075,10608.76847,29560.98035,39076.245,82.25
2022-01-01T08:00+01:00,-2330.9925,10927.20018,28003.48037,40299.12,82.25
2022-01-01T09:00+01:00,-1491.5475,11103.71288,29087.6169,42510.1375,82.25
2022-01-01T10:00+01:00,-814.265,11369.72854,30174.30807,44382.0075,82.25
2022-01-01T11:00+01:00,1270.8425,11506.52162,31035.42073,46731.8625,82.25
2022-01-01T12:00+01:00,1251.5125,11760.83997,31521.89378,47313.9925,82.25
2022-01-01T13:00+01:00,1957.4825,11406.20274,29579.38755,46391.1325,82.25
2022-01-01T14:00+01:00,1669.725,12358.93907,26714.14341,45728.525,82.25
2022-01-01T15:00+01:00,1649.5925,14279.46106,23976.46676,45683.2075,82.25
2022-01-01T16:00+01:00,843.705,15375.42871,23958.83068,47903.7375,82.25
2022-01-01T17:00+01:00,246.4825,15888.4057,25959.87692,51620.855,82.25
2022-01-01T18:00+01:00,-2308.33,16241.19971,27996.63887,52595.2675,82.25
2022-01-01T19:00+01:00,-4249.8325,15708.96128,29944.62594,51619.9975,82.25
2022-01-01T20:00+01:00,-4943.28,14479.02109,31025.74175,49682.96,82.25
2022-01-01T21:00+01:00,-3862.4975,13334.80079,31584.83988,48052.1325,82.25
2022-01-01T22:00+01:00,-4030.1425,12900.65732,32015.33607,47476.9025,82.25
2022-01-01T23:00+01:00,-4482.1325,11455.08471,32388.05679,44871.6275,82.25
2022-01-02T00:00+01:00,-3864.2175,10338.59542,32395.74193,42672.0225,82.25
